first_name,last_name,team,league,nationality,position,shirt,dob,age,skill_avg
Franck,Leboeuf,Chelsea,English Premier League,French,SW,5,1968-01-22,28,59.83
Craig,Burley,Chelsea,English Premier League,Scottish,AM,14,1971-09-24,24,58.88
Steve,Clarke,Chelsea,English Premier League,Scottish,CD,6,1963-08-29,32,55.88
Dennis,Wise,Chelsea,English Premier League,English,DM,11,1966-12-16,29,61.46
Ruud,Gullit,Chelsea,English Premier League,Dutch,AM,4,1962-09-01,33,64.21
Scott,Minto,Chelsea,English Premier League,English,LWB,17,1971-08-06,24,57.46
Kevin,Hitchcock,Chelsea,English Premier League,English,GK,13,1962-10-05,33,54.29
Mark,Hughes,Chelsea,English Premier League,Welsh,FOR,10,1963-11-01,32,62.46
Erland,Johnsen,Chelsea,English Premier League,Norwegian,CD,18,1967-04-05,29,51.83
Nick,Colgan,Chelsea,English Premier League,Irish,GK,26,1973-09-19,22,50.67
Paul,Hughes,Chelsea,English Premier League,English,LM,27,1976-04-19,20,59.12
Paul,Parker,Chelsea,English Premier League,English,CD,19,1964-04-04,32,55.5
David,Rocastle,Chelsea,English Premier League,English,RM,28,1967-05-02,29,57.29
David,Lee,Chelsea,English Premier League,English,CD,15,1969-11-26,26,51.08
Mark,Stein,Chelsea,English Premier League,English,FOR,24,1966-01-28,30,54.83
Dimitri,Kharine,Chelsea,English Premier League,Russian,GK,1,1968-08-16,27,55.5
Jacob,Kjeldberg,Chelsea,English Premier League,Danish,CD,22,1969-10-21,26,50.33
Eddie,Newton,Chelsea,English Premier League,English,DM,23,1971-12-13,24,55.67
Frank,Sinclair,Chelsea,English Premier League,English,CD,20,1971-12-03,24,53.21
Daniel,Granville,Chelsea,English Premier League,English,LB,29,1975-01-19,21,54.12
Richard,Shaw,Coventry,English Premier League,English,CD,2,1968-09-11,27,50.17
Gary,McAllister,Coventry,English Premier League,Scottish,AM,10,1964-12-25,31,62.17
Eoin,Jess,Coventry,English Premier League,Scottish,AM,7,1970-12-13,25,57.67
Noel,Whelan,Coventry,English Premier League,English,FOR,8,1974-12-30,21,55.25
Steve,Orgrizovic,Coventry,English Premier League,English,GK,1,1957-09-12,38,54.79
Brian,Borrows,Coventry,English Premier League,English,RB,16,1960-12-20,35,52.54
John,Salako,Coventry,English Premier League,English,LM,11,1969-02-11,27,58.46
Paul,Telfer,Coventry,English Premier League,English,RM,12,1971-10-21,24,52.79
Dion,Dublin,Coventry,English Premier League,English,FOR,9,1969-04-22,27,55.79
Marcus,Hall,Coventry,English Premier League,English,LB,18,1976-03-24,20,51.25
Gary,Breen,Coventry,English Premier League,English,CD,25,1973-12-12,22,54.21
Gary,Gillespie,Coventry,English Premier League,English,CD,27,1960-07-05,36,48.12
John,Filan,Coventry,English Premier League,Australian,GK,13,1970-02-08,26,52.33
Kevin,Richardson,Coventry,English Premier League,English,DM,6,1962-12-04,33,53.79
Gordon,Strachan,Coventry,English Premier League,Scottish,RW,26,1957-02-09,39,60.0
Peter,Ndlovu,Coventry,English Premier League,Zimbabwean,FOR,14,1973-02-25,23,57.08
Sam,Shilton,Coventry,English Premier League,English,FOR,32,1978-07-21,18,52.12
Alex,Evtuschok,Coventry,English Premier League,Ukranian,CD,23,1973-08-12,22,56.17
Regis,Genaux,Coventry,English Premier League,Belgian,LWB,24,1973-08-31,22,54.54
Rory,Donovan,Coventry,English Premier League,English,DM,31,1968-01-01,28,47.75
Nii,Lamptey,Coventry,English Premier League,Ghanian,FOR,29,1974-12-10,21,51.83
Marquis,Isaias,Coventry,English Premier League,Portuguese,AM,15,1963-10-18,32,56.25
David,Burrows,Coventry,English Premier League,English,LB,3,1968-10-25,27,51.71
Willie,Boland,Coventry,English Premier League,English,AM,17,1975-08-06,20,52.08
Carlos,Batista,Coventry,English Premier League,Portuguese,AM,21,1972-12-20,23,54.08
Paul,Williams,Coventry,English Premier League,English,CD,4,1971-03-26,25,48.54
Michael,O'Neill,Coventry,English Premier League,Irish,DM,20,1969-07-05,27,52.79
Iyesden,Christie,Coventry,English Premier League,English,FOR,19,1976-11-14,19,47.33
Liam,Daish,Coventry,English Premier League,Irish,CD,5,1968-09-23,27,54.46
Darren,Huckerby,Coventry,English Premier League,English,FOR,28,1976-04-23,20,59.42
Terry,Phelan,Everton,English Premier League,Irish,LB,22,1967-03-16,29,55.17
Nick,Barmby,Everton,English Premier League,English,FOR,12,1974-02-11,22,58.46
Gary,Speed,Everton,English Premier League,Welsh,LM,10,1969-09-08,26,60.25
Neville,Southall,Everton,English Premier League,Welsh,GK,1,1958-09-16,37,57.17
Earle,Barrett,Everton,English Premier League,English,RB,2,1967-04-28,29,54.58
Dave,Watson,Everton,English Premier League,English,CD,5,1961-11-20,34,54.42
Duncan,Ferguson,Everton,English Premier League,Scottish,FOR,9,1971-12-27,24,59.79
Joe,Parkinson,Everton,English Premier League,English,DM,18,1971-06-11,25,53.0
Tony,Grant,Everton,English Premier League,English,RM,20,1974-11-14,21,56.96
Craig,Short,Everton,English Premier League,English,CD,21,1968-06-25,28,52.5
Claus,Thomsen,Everton,English Premier League,Danish,DM,15,1970-05-31,26,62.33
Marc,Hottiger,Everton,English Premier League,Swiss,RB,19,1967-11-07,28,55.0
Graham,Stuart,Everton,English Premier League,English,AM,7,1970-10-24,25,57.92
Paul,Rideout,Everton,English Premier League,English,FOR,8,1964-08-14,31,54.54
David,Unsworth,Everton,English Premier League,English,CD,4,1973-10-16,22,52.92
Paul,Gerrard,Everton,English Premier League,English,GK,31,1973-01-22,23,56.17
John,Hills,Everton,English Premier League,English,RB,23,1978-04-21,18,46.29
Michael,Branch,Everton,English Premier League,English,FOR,26,1978-10-18,17,53.5
Neil,Moore,Everton,English Premier League,English,CD,25,1972-09-21,23,48.79
Andy,Hinchcliffe,Everton,English Premier League,English,LB,3,1969-02-05,27,60.38
Mark,Grugel,Everton,English Premier League,English,DM,27,1976-03-09,20,48.04
Vinny,Samways,Everton,English Premier League,English,AM,16,1968-10-27,27,53.67
Jon,O'Connor,Everton,English Premier League,English,CD,24,1976-10-29,19,45.29
Jason,Kearton,Everton,English Premier League,Australian,GK,13,1969-07-09,27,51.54
Lee,Sharpe,Leeds,English Premier League,English,LM,7,1971-05-27,25,63.71
David,Wetherall,Leeds,English Premier League,English,CD,6,1971-03-14,25,53.0
Robert,Molenaar,Leeds,English Premier League,Dutch,CD,30,1969-02-27,27,56.17
Ian,Rush,Leeds,English Premier League,Welsh,FOR,9,1961-10-20,34,62.54
Tony,Yeboah,Leeds,English Premier League,Ghanian,FOR,21,1966-06-06,30,57.25
Mark,Ford,Leeds,English Premier League,English,DM,22,1975-10-10,20,53.92
Carlton,Palmer,Leeds,English Premier League,English,DM,4,1965-12-05,30,55.33
Gary,Kelly,Leeds,English Premier League,Irish,RB,2,1974-07-09,22,56.71
Gunner,Halle,Leeds,English Premier League,Norwegian,LB,18,1965-08-11,30,57.0
Lee,Bowyer,Leeds,English Premier League,English,RM,11,1977-01-03,19,61.08
Nigel,Martyn,Leeds,English Premier League,English,GK,1,1966-08-11,29,56.38
Brian,Deane,Leeds,English Premier League,English,FOR,10,1968-02-07,28,50.54
Andrew,Couzens,Leeds,English Premier League,English,CD,23,1975-06-04,21,46.38
Lucas,Radebe,Leeds,English Premier League,South African,CD,5,1969-04-12,27,48.75
Mark,Beeney,Leeds,English Premier League,English,GK,15,1967-12-30,28,51.0
Mark,Tinkler,Leeds,English Premier League,English,DM,17,1974-10-24,21,49.5
Derek,Lilley,Leeds,English Premier League,Scottish,LM,19,1974-02-09,22,47.46
Andy,Gray,Leeds,English Premier League,English,DM,14,1977-11-15,18,51.5
Richard,Jobson,Leeds,English Premier League,English,CD,16,1963-05-09,33,52.08
Paul,Beesley,Leeds,English Premier League,English,CD,26,1965-07-21,31,46.71
Mark,Jackson,Leeds,English Premier League,English,DM,29,1977-09-30,18,56.71
Tony,Dorigo,Leeds,English Premier League,English,LB,3,1965-12-31,30,54.46
Rod,Wallace,Leeds,English Premier League,English,FOR,8,1969-10-02,26,54.33
John,Pemberton,Leeds,English Premier League,Welsh,CD,12,1964-11-18,31,51.5
Pierre,Laurent,Leeds,English Premier League,French,FOR,27,1970-12-13,25,51.21
Tommy,Kranik,Leeds,English Premier League,Norwegian,DM,13,1976-01-01,20,56.5
Patrik,Berger,Liverpool,English Premier League,Czech,FOR,15,1973-11-10,22,66.54
David,James,Liverpool,English Premier League,English,GK,1,1970-08-01,25,59.71
Stig-Inge,Bjornbye,Liverpool,English Premier League,Norwegian,LWB,20,1969-12-11,26,65.25
Mark,Wright,Liverpool,English Premier League,English,CD,5,1963-08-01,32,57.38
Jamie,Redknapp,Liverpool,English Premier League,English,AM,11,1973-06-25,23,63.21
Steve,McManaman,Liverpool,English Premier League,English,AM,7,1972-02-11,24,68.08
Robbie,Fowler,Liverpool,English Premier League,English,FOR,9,1975-04-09,21,66.71
Jason,McAteer,Liverpool,English Premier League,Irish,RWB,4,1971-06-18,25,61.92
John,Barnes,Liverpool,English Premier League,English,DM,10,1963-11-07,32,64.62
Dominic,Matteo,Liverpool,English Premier League,English,CD,21,1974-04-28,22,56.92
Phil,Babb,Liverpool,English Premier League,Irish,CD,6,1970-11-30,25,56.92
Anthony,Warner,Liverpool,English Premier League,English,GK,13,1974-05-11,22,48.17
Rob,Jones,Liverpool,English Premier League,English,RWB,2,1971-11-05,24,62.92
Neil,Ruddock,Liverpool,English Premier League,English,CD,14,1968-05-09,28,56.71
Michael,Thomas,Liverpool,English Premier League,English,AM,16,1967-08-24,28,57.0
Stan,Collymore,Liverpool,English Premier League,English,FOR,8,1971-01-22,25,62.88
Jamie,Cassidy,Liverpool,English Premier League,English,DM,22,1977-11-21,18,57.79
James,Carragher,Liverpool,English Premier League,English,CD,23,1978-01-28,18,53.04
Michael,Owen,Liverpool,English Premier League,English,FOR,18,1979-01-01,17,55.29
David,Thompson,Liverpool,English Premier League,English,DM,25,1977-09-12,18,56.5
Bjorn Tore,Kvarme,Liverpool,English Premier League,Norwegian,CD,3,1972-07-17,24,54.25
Lee,Jones,Liverpool,English Premier League,Welsh,FOR,24,1973-05-29,23,50.79
Mark,Kennedy,Liverpool,English Premier League,Irish,LW,19,1976-05-15,20,57.33
Steve,Harkness,Liverpool,English Premier League,English,LWB,12,1971-08-27,24,55.71
Tommy,Wright,Manchester C,English First Division,Irish,GK,28,1963-08-29,32,51.71
Eddie,McGoldrick,Manchester C,English First Division,Irish,RB,2,1965-04-30,31,51.38
Rae,Ingram,Manchester C,English First Division,English,LB,3,1974-12-06,21,48.5
Neil,Heaney,Manchester C,English First Division,English,LM,6,1971-11-03,24,54.38
Nigel,Clough,Manchester C,English First Division,English,AM,7,1966-03-19,30,57.96
Kit,Symons,Manchester C,English First Division,Welsh,CD,4,1971-03-08,25,52.29
Gergiou,Kinkladze,Manchester C,English First Division,Georgian,AM,8,1973-12-06,22,59.71
Nicky,Summerbee,Manchester C,English First Division,English,RM,11,1971-08-26,24,55.46
Paul,Dickov,Manchester C,English First Division,Scottish,FOR,10,1972-11-01,23,52.75
Uwe,Rosler,Manchester C,English First Division,German,FOR,9,1968-11-15,27,57.08
John,Foster,Manchester C,English First Division,Cameroonian,CD,5,1973-09-19,22,47.38
Mikhail,Kavelashvili,Manchester C,English First Division,Georgian,FOR,27,1971-07-22,25,53.79
Ian,Brightwell,Manchester C,English First Division,English,CD,18,1968-04-09,28,51.67
Eike,Immel,Manchester C,English First Division,German,GK,13,1960-11-27,35,50.62
Martin,Phillips,Manchester C,English First Division,English,LM,19,1976-03-13,20,50.0
Alan,Kernaghan,Manchester C,English First Division,Irish,CD,14,1967-04-25,29,50.33
Martyn,Margetson,Manchester C,English First Division,Welsh,GK,24,1971-09-08,24,49.0
Dalian,Atkinson,Manchester C,English First Division,English,FOR,12,1968-03-21,28,55.83
Andy,Dibble,Manchester C,English First Division,English,GK,1,1965-05-08,31,46.58
Richard,Edghill,Manchester C,English First Division,English,RB,26,1974-09-23,21,52.92
Scott,Thomas,Manchester C,English First Division,English,DM,23,1974-10-30,21,48.54
Peter,Beagrie,Manchester C,English First Division,English,LM,22,1965-11-29,30,56.62
Gerald,Brannan,Manchester C,English First Division,English,RM,17,1972-01-15,24,48.0
Kevin,Horlock,Manchester C,English First Division,Irish,LM,25,1972-11-01,23,47.21
Gerry,Creaney,Manchester C,English First Division,Scottish,FOR,15,1970-04-13,26,54.25
Kakhaber,Tskhadadze,Manchester C,English First Division,Georgian,CD,20,1968-09-07,27,59.12
Scott,Hiley,Manchester C,English First Division,English,CD,16,1968-09-27,27,51.29
Ole Gunnar,Solskjaer,Manchester U,English Premier League,Norwegian,FOR,20,1973-02-26,23,57.67
Peter,Schmeichel,Manchester U,English Premier League,Danish,GK,1,1963-11-18,32,62.21
Dennis,Irwin,Manchester U,English Premier League,Irish,RB,3,1965-10-31,30,61.62
Gary,Pallister,Manchester U,English Premier League,English,CD,6,1965-06-30,31,57.5
David,May,Manchester U,English Premier League,English,CD,4,1970-06-24,26,52.33
Eric,Cantona,Manchester U,English Premier League,French,FOR,7,1966-05-24,30,68.46
Roy,Keane,Manchester U,English Premier League,Irish,AM,16,1971-08-10,24,68.54
Ryan,Giggs,Manchester U,English Premier League,Welsh,LM,11,1973-11-29,22,66.33
Nicky,Butt,Manchester U,English Premier League,English,AM,8,1975-01-21,21,61.46
Phillip,Neville,Manchester U,English Premier League,English,LB,12,1977-01-21,19,52.38
David,Beckham,Manchester U,English Premier League,English,RM,10,1975-05-02,21,64.88
Ronny,Johnsen,Manchester U,English Premier League,Norwegian,CD,19,1974-02-09,22,56.96
Jordi,Cruyff,Manchester U,English Premier League,Dutch,AM,14,1974-02-09,22,61.79
Raimond,van der Gouw,Manchester U,English Premier League,Dutch,GK,17,1963-03-24,33,53.88
Karel,Poborsky,Manchester U,English Premier League,Czech,RW,15,1972-05-30,24,62.67
Gary,Neville,Manchester U,English Premier League,English,RB,2,1975-02-18,21,61.96
Terry,Cooke,Manchester U,English Premier League,English,FOR,27,1976-08-05,19,54.79
Graeme,Tomlinson,Manchester U,English Premier League,English,FOR,30,1975-12-10,20,51.12
Nick,Culkin,Manchester U,English Premier League,English,GK,29,1978-07-06,18,47.71
Michael,Clegg,Manchester U,English Premier League,English,CD,32,1977-07-03,19,51.17
Kevin,Pilkington,Manchester U,English Premier League,English,GK,25,1974-03-08,22,50.08
Chris,Casper,Manchester U,English Premier League,English,CD,26,1975-04-28,21,54.17
Ben,Thornley,Manchester U,English Premier League,English,LM,23,1975-04-21,21,50.79
Brian,McClair,Manchester U,English Premier League,Scottish,AM,13,1963-12-08,32,57.12
Andy,Cole,Manchester U,English Premier League,English,FOR,9,1971-10-15,24,54.46
John,O'Kane,Manchester U,English Premier League,Irish,RB,24,1974-11-15,21,50.58
Paul,Scholes,Manchester U,English Premier League,English,FOR,18,1974-11-16,21,59.92
Simon,Davies,Manchester U,English Premier League,English,LW,22,1974-04-23,22,53.79
Pat,McGibbon,Manchester U,English Premier League,Scottish,RB,21,1973-09-06,22,50.17
Mikkel,Beck,Middlesbrough,English Premier League,Danish,FOR,9,1973-05-12,23,55.96
,Emerson,Middlesbrough,English Premier League,Brazilian,DM,6,1970-04-12,26,63.5
Oswaldo,Juninho,Middlesbrough,English Premier League,Brazilian,AM,10,1973-02-22,23,63.75
Fabrizio,Ravanelli,Middlesbrough,English Premier League,Italian,FOR,11,1968-12-11,27,64.29
Marc,Schwarzer,Middlesbrough,English Premier League,Australian,GK,19,1972-10-06,23,49.79
Derek,Whyte,Middlesbrough,English Premier League,Scottish,CD,3,1968-08-31,27,55.62
Curtis,Fleming,Middlesbrough,English Premier League,Irish,LB,14,1968-10-08,27,54.04
Steve,Vickers,Middlesbrough,English Premier League,English,CD,4,1967-10-13,28,53.42
Phillip,Stamp,Middlesbrough,English Premier League,English,AM,20,1975-12-12,20,54.67
Neil,Cox,Middlesbrough,English Premier League,English,RB,2,1971-10-08,24,58.21
Nigel,Pearson,Middlesbrough,English Premier League,English,CD,5,1963-08-21,32,53.33
Clayton,Blackmore,Middlesbrough,English Premier League,Welsh,DM,17,1964-09-23,31,52.88
Gianluca,Festa,Middlesbrough,English Premier League,Italian,CD,18,1969-03-15,27,54.08
Robbie,Mustoe,Middlesbrough,English Premier League,English,AM,8,1968-08-28,27,55.0
Craig,Hignett,Middlesbrough,English Premier League,English,AM,21,1970-01-12,26,57.29
Gary,Walsh,Middlesbrough,English Premier League,English,GK,13,1968-03-21,28,53.83
Vladimir,Kinder,Middlesbrough,English Premier League,Slovakian,LB,7,1973-01-01,23,45.75
Ben,Roberts,Middlesbrough,English Premier League,English,GK,24,1976-01-01,20,48.0
Alan,Moore,Middlesbrough,English Premier League,Irish,AM,12,1974-11-25,21,55.08
Chris,Morris,Middlesbrough,English Premier League,Irish,RB,26,1963-12-24,32,54.54
Bryan,Robson,Middlesbrough,English Premier League,English,AM,16,1957-01-11,39,60.58
Craig,Liddle,Middlesbrough,English Premier League,English,DM,22,1971-10-21,24,50.25
David,Batty,Newcastle,English Premier League,English,DM,4,1968-12-02,27,56.33
Steve,Watson,Newcastle,English Premier League,English,RB,19,1974-04-01,22,57.62
Robert,Lee,Newcastle,English Premier League,English,AM,7,1966-02-01,30,65.08
Alan,Shearer,Newcastle,English Premier League,English,FOR,9,1970-08-13,25,68.42
John,Beresford,Newcastle,English Premier League,English,LB,3,1966-09-04,29,56.5
David,Ginola,Newcastle,English Premier League,French,LW,14,1967-01-25,29,62.75
Darren,Peacock,Newcastle,English Premier League,English,CD,5,1968-02-03,28,53.0
Pavel,Srnicek,Newcastle,English Premier League,Czech,GK,1,1968-03-10,28,54.5
Keith,Gillespie,Newcastle,English Premier League,Irish,RW,18,1975-02-18,21,62.83
Phillipe,Albert,Newcastle,English Premier League,Belgian,CD,27,1967-08-10,28,62.5
Les,Ferdinand,Newcastle,English Premier League,English,FOR,10,1966-12-18,29,62.71
Warren,Barton,Newcastle,English Premier League,English,RB,2,1969-03-19,27,56.54
Faustino,Asprilla,Newcastle,English Premier League,Colombian,FOR,11,1969-11-10,26,62.38
Peter,Beardsley,Newcastle,English Premier League,English,AM,8,1961-01-18,35,66.0
Steve,Howey,Newcastle,English Premier League,English,CD,6,1971-10-26,24,54.29
Shaka,Hislop,Newcastle,English Premier League,English,GK,15,1969-02-22,27,53.33
Robbie,Elliot,Newcastle,English Premier League,English,LB,26,1973-12-25,22,53.79
Lee,Clark,Newcastle,English Premier League,English,DM,20,1972-10-27,23,56.58
Malcolm,Allen,Newcastle,English Premier League,Welsh,FOR,21,1967-03-21,29,51.21
Stephen,Harper,Newcastle,English Premier League,English,DM,29,1974-03-23,22,47.0
David,Eatock,Newcastle,English Premier League,English,CD,12,1976-11-11,19,44.08
Des,Hamilton,Newcastle,English Premier League,English,AM,16,1976-08-15,19,51.96
Colin,Cooper,Nottingham F,English Premier League,English,CD,4,1967-02-28,29,53.92
