first_name,last_name,team,dob,age,GK,RB,LB,CD,RWB,LWB,SW,DM,RM,LM,AM,RW,LW,FR,FOR,SS
Michael,Branch,Everton,1978-10-18,17,48,55,55,54,63,63,61,55,58,58,58,63,63,63,64,61
Neil,Moore,Everton,1972-09-21,23,41,61,61,62,48,48,54,52,45,45,43,40,40,44,43,40
Andy,Hinchcliffe,Everton,1969-02-05,27,46,72,72,71,66,66,68,68,65,65,64,62,62,63,62,61
Mark,Grugel,Everton,1976-03-09,20,35,60,60,60,52,52,57,58,53,53,52,49,49,49,47,47
Vinny,Samways,Everton,1968-10-27,27,38,56,56,54,63,63,63,65,68,68,69,69,69,67,63,66
Jon,O'Connor,Everton,1976-10-29,19,36,60,60,61,45,45,51,49,41,41,39,35,35,38,37,35
Lee,Sharpe,Leeds,1971-05-27,25,52,58,58,53,70,70,69,68,73,73,75,79,79,80,74,76
David,Wetherall,Leeds,1971-03-14,25,43,68,68,70,51,51,57,55,46,46,44,40,40,44,42,40
Robert,Molenaar,Leeds,1969-02-27,27,49,70,70,72,59,59,64,58,51,51,49,49,49,54,52,49
Ian,Rush,Leeds,1961-10-20,34,48,66,66,64,69,69,71,68,67,67,68,72,72,76,75,74
Tony,Yeboah,Leeds,1966-06-06,30,44,54,54,52,58,58,59,55,56,56,57,61,61,65,69,67
Mark,Ford,Leeds,1975-10-10,20,38,56,56,54,58,58,60,61,62,62,63,62,62,62,62,62
Carlton,Palmer,Leeds,1965-12-05,30,39,69,69,69,62,62,66,69,64,64,64,60,60,59,53,55
Gary,Kelly,Leeds,1974-07-09,22,45,69,69,69,63,63,65,57,53,53,50,53,53,58,48,46
Gunner,Halle,Leeds,1965-08-11,30,45,69,69,69,66,66,68,66,63,63,62,61,61,61,57,57
Lee,Bowyer,Leeds,1977-01-03,19,44,66,66,64,69,69,71,74,74,74,75,72,72,72,69,71
Nigel,Martyn,Leeds,1966-08-11,29,83,44,44,39,42,42,49,55,52,52,54,50,50,50,39,42
Brian,Deane,Leeds,1968-02-07,28,41,44,44,42,46,46,49,43,43,43,44,49,49,56,66,61
Andrew,Couzens,Leeds,1975-06-04,21,35,62,62,63,48,48,54,52,45,45,42,38,38,41,38,36
Lucas,Radebe,Leeds,1969-04-12,27,38,67,67,68,51,51,57,54,46,46,43,39,39,43,40,38
Mark,Beeney,Leeds,1967-12-30,28,71,40,40,35,37,37,43,47,43,43,44,42,42,43,34,36
Mark,Tinkler,Leeds,1974-10-24,21,36,62,62,63,53,53,59,61,54,54,54,49,49,50,49,49
Derek,Lilley,Leeds,1974-02-09,22,37,59,59,58,50,50,55,58,53,53,52,47,47,46,44,45
Andy,Gray,Leeds,1977-11-15,18,39,66,66,67,62,62,63,62,59,59,58,57,57,55,51,51
Richard,Jobson,Leeds,1963-05-09,33,41,69,69,70,52,52,60,59,50,50,47,42,42,45,41,40
Paul,Beesley,Leeds,1965-07-21,31,37,65,65,66,50,50,55,54,45,45,42,38,38,40,37,35
Mark,Jackson,Leeds,1977-09-30,18,46,68,68,68,62,62,65,68,64,64,64,60,60,60,60,61
Tony,Dorigo,Leeds,1965-12-31,30,42,65,65,65,58,58,60,53,48,48,46,48,48,53,47,45
Rod,Wallace,Leeds,1969-10-02,26,44,51,51,50,60,60,60,56,59,59,60,64,64,67,70,67
John,Pemberton,Leeds,1964-11-18,31,42,69,69,70,52,52,58,56,47,47,45,40,40,44,43,40
Pierre,Laurent,Leeds,1970-12-13,25,42,44,44,40,50,50,52,49,52,52,54,57,57,59,64,62
Patrik,Berger,Liverpool,1973-11-10,22,53,65,65,62,72,72,72,72,76,76,77,79,79,80,80,80
David,James,Liverpool,1970-08-01,25,86,52,52,47,48,48,53,57,54,54,55,50,50,51,40,43
Stig-Inge,Bjornbye,Liverpool,1969-12-11,26,51,79,79,78,73,73,78,80,76,76,76,72,72,70,67,68
Mark,Wright,Liverpool,1963-08-01,32,49,74,74,76,56,56,64,65,56,56,54,47,47,50,49,47
Jamie,Redknapp,Liverpool,1973-06-25,23,48,72,72,70,74,74,75,78,78,78,78,77,77,76,73,75
Steve,McManaman,Liverpool,1972-02-11,24,58,63,63,58,79,79,77,76,81,81,83,89,89,89,74,78
Robbie,Fowler,Liverpool,1975-04-09,21,56,65,65,61,73,73,74,74,76,76,78,81,81,82,84,83
Jason,McAteer,Liverpool,1971-06-18,25,47,71,71,68,72,72,73,75,76,76,76,75,75,73,71,72
John,Barnes,Liverpool,1963-11-07,32,48,75,75,75,71,71,74,79,78,78,78,73,73,73,72,74
Dominic,Matteo,Liverpool,1974-04-28,22,41,72,72,72,66,66,68,65,62,62,60,59,59,60,52,52
Phil,Babb,Liverpool,1970-11-30,25,47,70,70,72,57,57,62,59,54,54,52,49,49,52,52,48
Anthony,Warner,Liverpool,1974-05-11,22,69,37,37,33,37,37,43,49,46,46,48,44,44,44,35,38
Rob,Jones,Liverpool,1971-11-05,24,52,75,75,74,74,74,76,78,76,76,75,73,73,70,55,59
Neil,Ruddock,Liverpool,1968-05-09,28,46,71,71,72,55,55,63,64,56,56,54,48,48,50,47,47
Michael,Thomas,Liverpool,1967-08-24,28,45,55,55,52,62,62,64,65,66,66,68,69,69,69,65,66
Stan,Collymore,Liverpool,1971-01-22,25,52,60,60,58,66,66,67,63,65,65,66,71,71,74,76,74
Jamie,Cassidy,Liverpool,1977-11-21,18,49,69,69,68,59,59,66,70,64,64,64,57,57,57,57,57
James,Carragher,Liverpool,1978-01-28,18,44,66,66,66,53,53,59,57,50,50,49,45,45,47,48,45
Michael,Owen,Liverpool,1979-01-01,17,44,49,49,47,56,56,57,55,56,56,58,62,62,65,68,66
David,Thompson,Liverpool,1977-09-12,18,47,69,69,68,61,61,66,71,66,66,66,60,60,57,54,55
Bjorn Tore,Kvarme,Liverpool,1972-07-17,24,45,73,73,75,55,55,63,63,55,55,52,45,45,48,48,45
Lee,Jones,Liverpool,1973-05-29,23,42,50,50,49,56,56,57,53,55,55,55,59,59,63,69,65
Mark,Kennedy,Liverpool,1976-05-15,20,48,52,52,47,63,63,64,65,68,68,70,73,73,74,68,70
Tommy,Wright,Manchester C,1963-08-29,32,74,44,44,39,39,39,44,49,45,45,46,42,42,43,36,39
Eddie,McGoldrick,Manchester C,1965-04-30,31,37,57,57,56,59,59,60,58,57,57,57,59,59,61,58,58
Rae,Ingram,Manchester C,1974-12-06,21,40,62,62,64,57,57,59,56,52,52,50,49,49,51,42,42
Neil,Heaney,Manchester C,1971-11-03,24,43,50,50,45,56,56,58,57,58,58,60,62,62,64,64,63
Nigel,Clough,Manchester C,1966-03-19,30,43,60,60,58,63,63,65,67,68,68,69,68,68,67,67,68
Kit,Symons,Manchester C,1971-03-08,25,42,63,63,64,59,59,60,52,49,49,46,50,50,53,46,44
Gergiou,Kinkladze,Manchester C,1973-12-06,22,44,56,56,53,66,66,67,68,72,72,74,77,77,76,72,74
Nicky,Summerbee,Manchester C,1971-08-26,24,41,52,52,50,59,59,59,59,62,62,63,66,66,67,67,67
Paul,Dickov,Manchester C,1972-11-01,23,42,48,48,47,56,56,56,52,55,55,56,61,61,64,66,64
Uwe,Rosler,Manchester C,1968-11-15,27,46,55,55,54,60,60,62,62,63,63,65,65,65,66,70,69
John,Foster,Manchester C,1973-09-19,22,39,59,59,61,45,45,51,50,43,43,41,37,37,40,40,37
Mikhail,Kavelashvili,Manchester C,1971-07-22,25,41,48,48,46,55,55,55,54,58,58,59,62,62,65,67,66
Ian,Brightwell,Manchester C,1968-04-09,28,40,62,62,63,58,58,60,52,48,48,46,49,49,54,46,44
Eike,Immel,Manchester C,1960-11-27,35,71,36,36,33,37,37,41,47,47,47,49,45,45,45,37,41
Martin,Phillips,Manchester C,1976-03-13,20,43,50,50,48,53,53,55,54,53,53,53,55,55,55,45,46
Alan,Kernaghan,Manchester C,1967-04-25,29,39,68,68,70,52,52,59,59,50,50,47,42,42,44,43,41
Martyn,Margetson,Manchester C,1971-09-08,24,67,38,38,33,36,36,42,48,45,45,47,43,43,43,34,37
Dalian,Atkinson,Manchester C,1968-03-21,28,52,48,48,47,55,55,56,52,54,54,56,61,61,65,69,66
Andy,Dibble,Manchester C,1965-05-08,31,68,37,37,32,36,36,41,49,46,46,47,43,43,42,32,36
Richard,Edghill,Manchester C,1974-09-23,21,41,64,64,64,62,62,63,58,55,55,53,55,55,57,46,46
Scott,Thomas,Manchester C,1974-10-30,21,36,57,57,57,51,51,56,59,55,55,55,51,51,50,48,49
Peter,Beagrie,Manchester C,1965-11-29,30,44,55,55,54,63,63,63,62,65,65,66,68,68,69,68,68
Gerald,Brannan,Manchester C,1972-01-15,24,35,58,58,59,49,49,52,56,53,53,52,46,46,44,43,44
Kevin,Horlock,Manchester C,1972-11-01,23,37,58,58,58,47,47,52,56,51,51,50,44,44,44,45,45
Gerry,Creaney,Manchester C,1970-04-13,26,44,46,46,44,56,56,56,51,53,53,54,62,62,65,66,63
Kakhaber,Tskhadadze,Manchester C,1968-09-07,27,49,71,71,72,66,66,68,66,61,61,60,60,60,63,57,57
Ole Gunnar,Solskjaer,Manchester U,1973-02-26,23,49,49,49,45,57,57,58,55,59,59,61,65,65,70,76,73
